Rank,Name,Age,Link,Favorites,Animeography,PFP
1,"Lamperouge, Lelouch",17,https://myanimelist.net/character/417/Lelouch_Lamperouge,170254,"Code Geass: Hangyaku no Lelouch, Code Geass: Hangyaku no Lelouch Picture Drama, Code Geass: Hangyaku no Lelouch Recaps",https://cdn.myanimelist.net/images/characters/8/406163.jpg
2,Levi,undefined,https://myanimelist.net/character/45627/Levi,141922,"Shingeki no Kyojin: Kuinaki Sentaku, Shingeki no Kyojin Season 3, Shingeki no Kyojin Season 3 Part 2",https://cdn.myanimelist.net/images/characters/2/241413.jpg
3,"Monkey D., Luffy",17,https://myanimelist.net/character/40/Luffy_Monkey_D,139870,"One Piece, One Piece Movie 01, One Piece Movie 02: Nejimaki-jima no Daibouken",https://cdn.myanimelist.net/images/characters/9/310307.jpg
4,"Lawliet, L",undefined,https://myanimelist.net/character/71/L_Lawliet,126963,"Death Note, Death Note: Rewrite",https://cdn.myanimelist.net/images/characters/10/249647.jpg
5,"Roronoa, Zoro",19,https://myanimelist.net/character/62/Zoro_Roronoa,110857,"One Piece, One Piece Movie 01, One Piece Movie 02: Nejimaki-jima no Daibouken",https://cdn.myanimelist.net/images/characters/3/100534.jpg
6,"Zoldyck, Killua",12,https://myanimelist.net/character/27/Killua_Zoldyck,96910,"Hunter x Hunter, Hunter x Hunter: Original Video Animation, Hunter x Hunter: Greed Island",https://cdn.myanimelist.net/images/characters/2/327920.jpg
7,"Yagami, Light",undefined,https://myanimelist.net/character/80/Light_Yagami,96775,"Death Note, Death Note: Rewrite",https://cdn.myanimelist.net/images/characters/6/63870.jpg
8,"Okabe, Rintarou",18,https://myanimelist.net/character/35252/Rintarou_Okabe,95233,"Steins;Gate, Steins;Gate: Oukoubakko no Poriomania, Steins;Gate Movie: Fuka Ryouiki no Déjà vu",https://cdn.myanimelist.net/images/characters/6/122643.jpg
9,"Elric, Edward",15,https://myanimelist.net/character/11/Edward_Elric,87940,"Fullmetal Alchemist, Fullmetal Alchemist: The Conqueror of Shamballa, Fullmetal Alchemist: Reflections",https://cdn.myanimelist.net/images/characters/9/72533.jpg
10,"Uzumaki, Naruto",12,https://myanimelist.net/character/17/Naruto_Uzumaki,84554,"Naruto, Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!, Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!",https://cdn.myanimelist.net/images/characters/2/284121.jpg
11,Guts,undefined,https://myanimelist.net/character/422/Guts,82495,"Kenpuu Denki Berserk, Berserk: Ougon Jidai-hen I - Haou no Tamago, Berserk: Ougon Jidai-hen II - Doldrey Kouryaku",https://cdn.myanimelist.net/images/characters/9/347984.jpg
12,"Sakata, Gintoki",27,https://myanimelist.net/character/672/Gintoki_Sakata,74022,"Gintama, Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi, Gintama: Shiroyasha Koutan",https://cdn.myanimelist.net/images/characters/15/241479.jpg
13,"Yeager, Eren",15,https://myanimelist.net/character/40882/Eren_Yeager,70637,"Shingeki no Kyojin, Shingeki no Kyojin OVA, Shingeki no Kyojin: Ano Hi Kara",https://cdn.myanimelist.net/images/characters/10/216895.jpg
14,"Makise, Kurisu",18,https://myanimelist.net/character/34470/Kurisu_Makise,65655,"Steins;Gate, Steins;Gate: Oukoubakko no Poriomania, Steins;Gate Movie: Fuka Ryouiki no Déjà vu",https://cdn.myanimelist.net/images/characters/12/492885.jpg
15,"Uchiha, Itachi",17,https://myanimelist.net/character/14/Itachi_Uchiha,65583,"Naruto: Shippuuden - Sunny Side Battle, Naruto, Naruto: Shippuuden",https://cdn.myanimelist.net/images/characters/9/284122.jpg
16,"Gojou, Satoru",28,https://myanimelist.net/character/164471/Satoru_Gojou,60712,"Jujutsu Kaisen Official PVs, Jujutsu Kaisen, Jujutsu Kaisen 0 Movie",https://cdn.myanimelist.net/images/characters/15/422168.jpg
17,"Ackerman, Mikasa",15,https://myanimelist.net/character/40881/Mikasa_Ackerman,54974,"Shingeki no Kyojin, Shingeki no Kyojin: Ano Hi Kara, Shingeki no Kyojin Picture Drama",https://cdn.myanimelist.net/images/characters/9/215563.jpg
18,"Kaneki, Ken",18,https://myanimelist.net/character/87275/Ken_Kaneki,51806,"Tokyo Ghoul, Tokyo Ghoul √A, Tokyo Ghoul:re",https://cdn.myanimelist.net/images/characters/15/307255.jpg
19,"Hikigaya, Hachiman",17,https://myanimelist.net/character/67065/Hachiman_Hikigaya,51604,"Yahari Ore no Seishun Love Comedy wa Machigatteiru., Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA, Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku",https://cdn.myanimelist.net/images/characters/4/203555.jpg
20,Saitama,25,https://myanimelist.net/character/73935/Saitama,47761,"One Punch Man, One Punch Man: Road to Hero, One Punch Man Specials",https://cdn.myanimelist.net/images/characters/11/294388.jpg
21,"Hatake, Kakashi",26,https://myanimelist.net/character/85/Kakashi_Hatake,47752,"Naruto, Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!, Naruto: Akaki Yotsuba no Clover wo Sagase",https://cdn.myanimelist.net/images/characters/7/284129.jpg
22,"Spiegel, Spike",undefined,https://myanimelist.net/character/1/Spike_Spiegel,47018,"Cowboy Bebop, Cowboy Bebop: Tengoku no Tobira, Cowboy Bebop: Yose Atsume Blues",https://cdn.myanimelist.net/images/characters/11/516853.jpg
23,Rem,17,https://myanimelist.net/character/118763/Rem,45105,"Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow - Manner Movie, Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow Announcement, Re:Zero kara Hajimeru Isekai Seikatsu",https://cdn.myanimelist.net/images/characters/9/311327.jpg
24,"Joestar, Joseph",18,https://myanimelist.net/character/6356/Joseph_Joestar,41383,"JoJo no Kimyou na Bouken: Adventure, JoJo no Kimyou na Bouken, JoJo no Kimyou na Bouken (TV)",https://cdn.myanimelist.net/images/characters/6/252863.jpg
25,Megumin,13,https://myanimelist.net/character/117225/Megumin,41267,"Kono Subarashii Sekai ni Shukufuku wo!, Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!, Kono Subarashii Sekai ni Shukufuku wo! 2",https://cdn.myanimelist.net/images/characters/14/349249.jpg
26,"Senjougahara, Hitagi",undefined,https://myanimelist.net/character/22037/Hitagi_Senjougahara,40456,"Bakemonogatari, Bakemonogatari Recap, Monogatari Series: Second Season",https://cdn.myanimelist.net/images/characters/11/287902.jpg
27,"Kirigaya, Kazuto",14,https://myanimelist.net/character/36765/Kazuto_Kirigaya,40308,"Sword Art Online, Sword Art Online: Sword Art Offline, Sword Art Online: Extra Edition",https://cdn.myanimelist.net/images/characters/7/204821.jpg
28,Yato,undefined,https://myanimelist.net/character/84677/Yato,39479,"Noragami, Noragami OVA, Noragami Aragoto",https://cdn.myanimelist.net/images/characters/3/328158.jpg
29,"Sakurajima, Mai",17,https://myanimelist.net/character/118739/Mai_Sakurajima,38132,"Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai, Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai, Seishun Buta Yarou wa Odekake Sister no Yume wo Minai",https://cdn.myanimelist.net/images/characters/2/366639.jpg
30,"Reigen, Arataka",29,https://myanimelist.net/character/109931/Arataka_Reigen,37817,"Mob Psycho 100, Mob Psycho 100: Reigen - Shirarezaru Kiseki no Reinouryokusha, Mob Psycho Mini",https://cdn.myanimelist.net/images/characters/16/308364.jpg
31,"Mustang, Roy",undefined,https://myanimelist.net/character/68/Roy_Mustang,37327,"Fullmetal Alchemist: Brotherhood Specials, Fullmetal Alchemist: The Sacred Star of Milos Specials, Fullmetal Alchemist",https://cdn.myanimelist.net/images/characters/11/510227.jpg
32,Zero Two,undefined,https://myanimelist.net/character/155679/Zero_Two,37126,Darling in the FranXX,https://cdn.myanimelist.net/images/characters/10/352557.jpg
33,"Evergarden, Violet",14,https://myanimelist.net/character/141354/Violet_Evergarden,36297,"Violet Evergarden, Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou, Violet Evergarden Movie",https://cdn.myanimelist.net/images/characters/9/345616.jpg
34,"Ayanokouji, Kiyotaka",undefined,https://myanimelist.net/character/128909/Kiyotaka_Ayanokouji,35992,"Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e PV, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season",https://cdn.myanimelist.net/images/characters/10/539057.jpg
35,"Dazai, Osamu",22,https://myanimelist.net/character/125056/Osamu_Dazai,35594,"Bungou Stray Dogs, Bungou Stray Dogs 2nd Season, Bungou Stray Dogs: Dead Apple",https://cdn.myanimelist.net/images/characters/5/307236.jpg
36,"Morow, Hisoka",28,https://myanimelist.net/character/31/Hisoka_Morow,35289,"Hunter x Hunter, Hunter x Hunter: Original Video Animation, Hunter x Hunter: Greed Island",https://cdn.myanimelist.net/images/characters/3/174561.jpg
37,"Kurosaki, Ichigo",15,https://myanimelist.net/character/5/Ichigo_Kurosaki,34242,"Bleach, Bleach: Memories in the Rain, Bleach: The Sealed Sword Frenzy",https://cdn.myanimelist.net/images/characters/3/512788.jpg
38,Kamina,18,https://myanimelist.net/character/2075/Kamina,33190,"Tengen Toppa Gurren Lagann, Tengen Toppa Gurren Lagann: Mitee Mono wa Miteen da!!, Tengen Toppa Gurren Lagann Movie 1: Gurren-hen",https://cdn.myanimelist.net/images/characters/7/83946.jpg
39,"Oshino, Shinobu",500,https://myanimelist.net/character/23602/Shinobu_Oshino,32639,"Kizumonogatari I: Tekketsu-hen, Nisemonogatari, Monogatari Series: Second Season",https://cdn.myanimelist.net/images/characters/16/234167.jpg
40,Saber,undefined,https://myanimelist.net/character/497/Saber,32128,"Fate/stay night, Fate/stay night Movie: Unlimited Blade Works, Fate/stay night TV Reproduction",https://cdn.myanimelist.net/images/characters/6/275276.jpg
41,"Onizuka, Eikichi",undefined,https://myanimelist.net/character/434/Eikichi_Onizuka,32070,"Great Teacher Onizuka, Shonan Junai Gumi!, Great Teacher Onizuka Recaps",https://cdn.myanimelist.net/images/characters/8/241475.jpg
42,"Aisaka, Taiga",17,https://myanimelist.net/character/12064/Taiga_Aisaka,31812,"Toradora!, Toradora!: SOS! Kuishinbou Banbanzai, Toradora!: Bentou no Gokui",https://cdn.myanimelist.net/images/characters/11/514086.jpg
43,Sanji,19,https://myanimelist.net/character/305/Sanji,31408,"One Piece, One Piece Movie 02: Nejimaki-jima no Daibouken, One Piece Movie 03: Chinjuu-jima no Chopper Oukoku",https://cdn.myanimelist.net/images/characters/5/136769.jpg
44,"Yuuki, Asuna",15,https://myanimelist.net/character/36828/Asuna_Yuuki,29402,"Sword Art Online, Sword Art Online: Sword Art Offline, Sword Art Online: Extra Edition",https://cdn.myanimelist.net/images/characters/15/262053.jpg
45,Emilia,undefined,https://myanimelist.net/character/118737/Emilia,29255,"Re:Zero kara Hajimeru Isekai Seikatsu, Re:Zero kara Hajimeru Break Time, Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow",https://cdn.myanimelist.net/images/characters/12/524543.jpg
46,"Uchiha, Sasuke",12,https://myanimelist.net/character/13/Sasuke_Uchiha,29064,"Naruto, Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!, Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!",https://cdn.myanimelist.net/images/characters/9/131317.jpg
47,"Araragi, Koyomi",18,https://myanimelist.net/character/22036/Koyomi_Araragi,29057,"Bakemonogatari, Bakemonogatari Recap, Kizumonogatari I: Tekketsu-hen",https://cdn.myanimelist.net/images/characters/3/148437.jpg
48,"Gasai, Yuno",14,https://myanimelist.net/character/4963/Yuno_Gasai,29056,"Mirai Nikki, Mirai Nikki (TV), Mirai Nikki: Redial",https://cdn.myanimelist.net/images/characters/5/280576.jpg
49,Thorfinn,undefined,https://myanimelist.net/character/10138/Thorfinn,28889,"Vinland Saga, Vinland Saga Season 2, Vinland Saga Season 2: Drowning in the Shadow",https://cdn.myanimelist.net/images/characters/9/309871.jpg
50,Holo,undefined,https://myanimelist.net/character/7373/Holo,28860,"Ookami to Koushinryou, Ookami to Koushinryou II, Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu",https://cdn.myanimelist.net/images/characters/15/319492.jpg
51,Alucard,581,https://myanimelist.net/character/601/Alucard,28553,"Hellsing, Hellsing Ultimate, Hellsing: Digest for Freaks",https://cdn.myanimelist.net/images/characters/15/74607.jpg
52,"Son, Gokuu",5,https://myanimelist.net/character/246/Gokuu_Son,28272,"Dragon Ball, Dragon Ball GT, Dragon Ball Movie 1: Shen Long no Densetsu",https://cdn.myanimelist.net/images/characters/15/72546.jpg
53,"Souryuu, Asuka Langley",14,https://myanimelist.net/character/94/Asuka_Langley_Souryuu,28161,"Shinseiki Evangelion, Shinseiki Evangelion Movie: Shi to Shinsei, Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",https://cdn.myanimelist.net/images/characters/12/79465.jpg
54,Askeladd,undefined,https://myanimelist.net/character/13020/Askeladd,27337,"Vinland Saga, Vinland Saga Season 2",https://cdn.myanimelist.net/images/characters/14/401940.jpg
55,"Smith, Erwin",undefined,https://myanimelist.net/character/46496/Erwin_Smith,26922,"Shingeki no Kyojin: Kuinaki Sentaku, Shingeki no Kyojin, Shingeki no Kyojin OVA",https://cdn.myanimelist.net/images/characters/3/206431.jpg
56,C.C.,16,https://myanimelist.net/character/1111/CC,26619,"Code Geass: Hangyaku no Lelouch, Code Geass: Hangyaku no Lelouch Recaps, Code Geass: Hangyaku no Lelouch R2",https://cdn.myanimelist.net/images/characters/13/33815.jpg
57,"Liebert, Johan",undefined,https://myanimelist.net/character/719/Johan_Liebert,26065,"Monster, Monster Extra: Hottan",https://cdn.myanimelist.net/images/characters/4/316522.jpg
58,"Kuujou, Joutarou",undefined,https://myanimelist.net/character/4003/Joutarou_Kuujou,26033,"JoJo no Kimyou na Bouken: Adventure, JoJo no Kimyou na Bouken, JoJo no Kimyou na Bouken Part 3: Stardust Crusaders",https://cdn.myanimelist.net/images/characters/9/312302.jpg
59,"Shinomiya, Kaguya",undefined,https://myanimelist.net/character/136359/Kaguya_Shinomiya,26016,"Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen, Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen, Kaguya-sama wa Kokurasetai: Ultra Romantic",https://cdn.myanimelist.net/images/characters/2/504723.jpg
60,"Kageyama, Shigeo",14,https://myanimelist.net/character/109929/Shigeo_Kageyama,25674,"Mob Psycho 100, Mob Psycho 100: Reigen - Shirarezaru Kiseki no Reinouryokusha, Mob Psycho Mini",https://cdn.myanimelist.net/images/characters/6/343344.jpg
61,"Todoroki, Shouto",15,https://myanimelist.net/character/118489/Shouto_Todoroki,25588,"Boku no Hero Academia 2nd Season, Boku no Hero Academia the Movie 3: World Heroes' Mission, Boku no Hero Academia the Movie 3: World Heroes' Mission - Tabidachi",https://cdn.myanimelist.net/images/characters/12/332527.jpg
62,"Midoriya, Izuku",14,https://myanimelist.net/character/117909/Izuku_Midoriya,25542,"Boku no Hero Academia, Boku no Hero Academia 2nd Season, Boku no Hero Academia: Sukue! Kyuujo Kunren!",https://cdn.myanimelist.net/images/characters/7/299404.jpg
63,"Akemi, Homura",14,https://myanimelist.net/character/38005/Homura_Akemi,25099,"Mahou Shoujo Madoka★Magica, Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari, Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari",https://cdn.myanimelist.net/images/characters/16/526748.jpg
64,"Miyazono, Kaori",14,https://myanimelist.net/character/69411/Kaori_Miyazono,24923,"Shigatsu wa Kimi no Uso, Shigatsu wa Kimi no Uso: Moments",https://cdn.myanimelist.net/images/characters/14/269375.jpg
65,"Toosaka, Rin",undefined,https://myanimelist.net/character/498/Rin_Toosaka,24555,"Fate/stay night, Fate/stay night Movie: Unlimited Blade Works, Fate/stay night TV Reproduction",https://cdn.myanimelist.net/images/characters/2/270529.jpg
66,"Kamado, Tanjirou",13,https://myanimelist.net/character/146156/Tanjirou_Kamado,24545,"Kimetsu no Yaiba, Kimetsu no Yaiba Movie: Mugen Ressha-hen, Chuukou Ikkan!! Kimetsu Gakuen Monogatari: Valentine-hen",https://cdn.myanimelist.net/images/characters/6/386735.jpg
67,Kurapika,17,https://myanimelist.net/character/28/Kurapika,24028,"Hunter x Hunter, Hunter x Hunter: Original Video Animation, Hunter x Hunter Pilot",https://cdn.myanimelist.net/images/characters/3/549312.jpg
68,"Orihara, Izaya",23,https://myanimelist.net/character/24596/Izaya_Orihara,23262,"Durarara!!, Durarara!! Specials, Durarara!!x2 Shou",https://cdn.myanimelist.net/images/characters/12/313152.jpg
69,"Tempest, Rimuru",37,https://myanimelist.net/character/131549/Rimuru_Tempest,23249,"Tensei shitara Slime Datta Ken, Tensei shitara Slime Datta Ken OVA, Tensei shitara Slime Datta Ken 2nd Season",https://cdn.myanimelist.net/images/characters/4/495795.jpg
70,"Oreki, Houtarou",15,https://myanimelist.net/character/55131/Houtarou_Oreki,23223,"Hyouka, Hyouka: Motsubeki Mono wa",https://cdn.myanimelist.net/images/characters/15/308148.jpg
71,"Saiki, Kusuo",16,https://myanimelist.net/character/90291/Kusuo_Saiki,22988,"Saiki Kusuo no Ψ-nan (ONA), Saiki Kusuo no Ψ-nan, Saiki Kusuo no Ψ-nan 2",https://cdn.myanimelist.net/images/characters/12/337932.jpg
72,"Yukinoshita, Yukino",undefined,https://myanimelist.net/character/67067/Yukino_Yukinoshita,22898,"Yahari Ore no Seishun Love Comedy wa Machigatteiru., Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA, Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku",https://cdn.myanimelist.net/images/characters/4/202721.jpg
73,"Kitagawa, Marin",15,https://myanimelist.net/character/166439/Marin_Kitagawa,22853,"Sono Bisque Doll wa Koi wo Suru, Sono Bisque Doll wa Koi wo Suru (Zoku-hen)",https://cdn.myanimelist.net/images/characters/10/459773.jpg
